nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage;cbo;dit;lcom
forezp/SpringCloudLearning;https://github.com/forezp/SpringCloudLearning;15933;4.4;0;13;Java;4.548611111111111;1.0416666666666667;11.26666682
dianping/cat;https://github.com/dianping/cat;15884;8.8;0;1019;Java;5.779816513761468;1.4919724770642202;564.8443269600008
oracle/graal;https://github.com/oracle/graal;15876;5.7;32;1146;Java;7.009707865168539;2.575640449438202;5221.0259994280095
brettwooldridge/HikariCP;https://github.com/brettwooldridge/HikariCP;15716;7.9;0;352;Java;4.3229813664596275;1.2857142857142858;35.49301252
apache/rocketmq;https://github.com/apache/rocketmq;15305;4.8;3;1657;Java;6.289232934553132;1.258972554539057;419.49905052500037
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;15119;8.8;0;116;Java;2.869565217391304;0.9891304347826086;3.9116666999999996
winterbe/java8-tutorial;https://github.com/winterbe/java8-tutorial;15001;7.5;0;42;Java;1.0224719101123596;0.9887640449438202;7.427777880000001
android10/Android-CleanArchitecture;https://github.com/android10/Android-CleanArchitecture;14950;7.1;0;58;Java;5.09433962264151;1.4150943396226414;25.94766546
TeamNewPipe/NewPipe;https://github.com/TeamNewPipe/NewPipe;14909;6.0;107;1383;Java;8.34020618556701;1.6597938144329898;158.51423629
openzipkin/zipkin;https://github.com/openzipkin/zipkin;14694;9.3;62;2111;Java;6.629343629343629;1.6267696267696268;203.35628684299974
apache/shardingsphere;https://github.com/apache/shardingsphere;14515;5.6;44;7078;Java;6.672058497673388;1.4292045202747619;727.5003512839982
JeffLi1993/springboot-learning-example;https://github.com/JeffLi1993/springboot-learning-example;14495;4.6;0;56;Java;4.573913043478261;1.0347826086956522;18.98040082
lottie-react-native/lottie-react-native;https://github.com/lottie-react-native/lottie-react-native;14444;4.6;3;209;Java;3.2;1.1333333333333333;3.26458324
LMAX-Exchange/disruptor;https://github.com/LMAX-Exchange/disruptor;14070;9.0;12;136;Java;4.3164556962025316;1.2936708860759494;95.71199173
hdodenhof/CircleImageView;https://github.com/hdodenhof/CircleImageView;14008;7.6;0;56;Java;8.25;1.75;0.9247102
lgvalle/Material-Animations;https://github.com/lgvalle/Material-Animations;13583;6.5;0;24;Java;4.304347826086956;1.434782608695652;7.182936359999999
dyc87112/SpringBoot-Learning;https://github.com/dyc87112/SpringBoot-Learning;13534;5.1;0;21;Java;4.6162361623616235;1.018450184501845;22.13425953999999
alibaba/ARouter;https://github.com/alibaba/ARouter;13413;4.7;16;139;Java;3.6565656565656566;1.393939393939394;18.24929079
Tencent/QMUI_Android;https://github.com/Tencent/QMUI_Android;13155;4.4;35;37;Java;5.457597173144876;1.6139575971731448;239.41454183000008
orhanobut/logger;https://github.com/orhanobut/logger;12980;6.5;16;62;Java;5.526315789473684;1.105263157894737;5.62654934
Bigkoo/Android-PickerView;https://github.com/Bigkoo/Android-PickerView;12912;6.7;0;75;Java;3.6847826086956523;1.141304347826087;12.03330103
material-components/material-components-android;https://github.com/material-components/material-components-android;12796;4.8;41;364;Java;7.022222222222222;1.5575757575757576;319.28694442000017
justauth/JustAuth;https://github.com/justauth/JustAuth;12142;2.6;43;61;Java;5.341176470588235;1.311764705882353;14.859523909999998
daimajia/AndroidSwipeLayout;https://github.com/daimajia/AndroidSwipeLayout;12126;7.0;18;65;Java;3.6666666666666665;1.3066666666666666;8.88863488
zhihu/Matisse;https://github.com/zhihu/Matisse;12083;4.4;15;164;Java;6.571428571428571;1.3766233766233766;22.647147639999996
arduino/Arduino;https://github.com/arduino/Arduino;12040;11.0;34;1479;Java;3.8647450110864745;1.6407982261640799;106.83855283700001
daimajia/AndroidViewAnimations;https://github.com/daimajia/AndroidViewAnimations;11926;7.2;9;35;Java;3.3373493975903616;1.783132530120482;4.02189395
YunaiV/SpringBoot-Labs;https://github.com/YunaiV/SpringBoot-Labs;11835;3.0;0;15;Java;4.325309491059147;1.0522696011004127;198.56565888000006
JessYanCoding/AndroidAutoSize;https://github.com/JessYanCoding/AndroidAutoSize;11830;3.1;14;7;Java;5.3;1.38;6.388328
baomidou/mybatis-plus;https://github.com/baomidou/mybatis-plus;11692;5.1;21;473;Java;5.899280575539568;1.3651079136690647;91.58335771599995
pinpoint-apm/pinpoint;https://github.com/pinpoint-apm/pinpoint;11674;6.9;47;4958;Java;5.4107013738250185;1.1594360086767896;1917.677837892008
Tencent/VasSonic;https://github.com/Tencent/VasSonic;11386;4.1;10;115;Java;4.160714285714286;1.2678571428571428;24.054029109999995
Netflix/zuul;https://github.com/Netflix/zuul;11270;8.5;5;582;Java;6.417874396135265;1.567632850241546;107.34193683999992
jfeinstein10/SlidingMenu;https://github.com/jfeinstein10/SlidingMenu;11180;9.2;0;130;Java;4.706666666666667;1.8;10.06345612
androidannotations/androidannotations;https://github.com/androidannotations/androidannotations;11160;9.7;0;633;Java;6.054979253112033;1.7240663900414939;201.42302048999997
apache/druid;https://github.com/apache/druid;11140;8.9;46;7552;Java;8.951276813074566;1.3208375893769153;2452.365213283007
GoogleContainerTools/jib;https://github.com/GoogleContainerTools/jib;11125;3.6;129;2127;Java;7.130057803468208;1.2124277456647399;210.36750384899992
Yalantis/uCrop;https://github.com/Yalantis/uCrop;10880;5.7;13;179;Java;6.25;1.3421052631578947;20.59064705
williamfiset/Algorithms;https://github.com/williamfiset/Algorithms;10832;4.5;0;136;Java;2.5926724137931036;1.0517241379310345;152.5760300799998
alibaba/vlayout;https://github.com/alibaba/vlayout;10801;4.5;34;23;Java;5.28125;1.84375;45.50940783000001
LuckSiege/PictureSelector;https://github.com/LuckSiege/PictureSelector;10794;4.7;97;36;Java;5.875661375661376;1.32010582010582;86.49671104
